category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Alcoholic beverages,Wine,2015-12-01,40352.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2015-11-01,39946.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2015-09-01,39827.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1998-12-01,38947.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1998-11-01,38334.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1998-10-01,37987.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2020-03-01,39424.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2020-08-01,39341.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2020-09-01,39164.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2014-12-01,38547.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2014-10-01,38349.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2014-11-01,38192.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1997-11-01,37669.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1997-03-01,37642.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1997-10-01,37454.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2013-12-01,36768.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2013-11-01,36545.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2013-09-01,36365.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2012-12-01,35924.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2012-05-01,35906.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2012-06-01,35849.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1996-12-01,35973.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1996-11-01,35697.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1996-10-01,35535.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2011-11-01,34613.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2011-10-01,34379.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2011-09-01,34249.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1995-12-01,33560.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1995-11-01,33076.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1995-09-01,33023.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2010-11-01,33015.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2010-10-01,32928.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2010-09-01,32757.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2019-08-01,32675.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2019-11-01,32634.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2019-07-01,32568.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2018-11-01,31944.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2018-10-01,31683.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2018-09-01,31603.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1994-12-01,32038.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1994-11-01,31986.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1994-09-01,31867.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2009-12-01,31736.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2009-11-01,31141.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2009-10-01,31123.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2017-11-01,30799.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2017-12-01,30773.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2017-10-01,30763.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2008-07-01,30494.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2008-11-01,30451.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2008-08-01,30439.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1991-03-01,30707.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1991-01-01,30446.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1991-08-01,30198.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1990-09-01,30859.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1990-11-01,30806.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1990-10-01,30266.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1993-12-01,30075.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1993-11-01,29998.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1993-10-01,29781.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2007-12-01,29702.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2007-06-01,29544.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2007-07-01,29503.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2016-11-01,29718.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2016-09-01,29660.0,2024-08-13 09:31:54
Alcoholic beverages,Spirits,2016-10-01,29545.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1992-01-01,28385.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1992-02-01,28344.0,2024-08-13 09:31:54
Alcoholic beverages,Beer,1992-10-01,28324.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2006-12-01,28542.0,2024-08-13 09:31:54
Alcoholic beverages,Wine,2006-11-01,28465.0,2024-08-13 09:31:54
