category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime
Cereals and bakery products,Cereals,2016-06-01,50776.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2015-12-01,50058.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2015-11-01,50050.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2015-09-01,49996.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1999-12-01,52674.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1999-11-01,50451.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1999-09-01,49993.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2014-12-01,49502.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2014-11-01,49420.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2014-10-01,49314.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2013-12-01,48229.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2013-07-01,48060.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2013-09-01,47992.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2012-12-01,47533.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2012-11-01,47466.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2012-10-01,47408.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2011-11-01,45130.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2011-12-01,45107.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2011-10-01,44948.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1998-12-01,46490.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1998-11-01,45921.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1998-10-01,45528.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2010-11-01,42726.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2010-12-01,42724.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2010-02-01,42696.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2009-12-01,42206.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2009-10-01,42087.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2009-09-01,42069.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1997-11-01,41094.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1997-10-01,40957.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1997-09-01,40955.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2008-11-01,41349.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2008-12-01,41295.0,2024-08-13 09:31:54
Cereals and bakery products,Cereals,2008-10-01,41099.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1996-12-01,40275.0,2024-08-13 09:31:54
Cereals and bakery products,Bakery products,1996-11-01,40099.0,2024-08-13 09:31:54
