category,sub_category,aggregation_date,millions_of_dollar,pipeline_exc_datetime,total_year_profit
Alcoholic beverages,Wine,2013-12-01,36768,2024/08/13 09:31:54,433034
Alcoholic beverages,Wine,2013-11-01,36545,2024/08/13 09:31:54,433034
Alcoholic beverages,Wine,2013-09-01,36365,2024/08/13 09:31:54,433034
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1988-11-01,37295,2024/08/13 09:31:54,432497
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1988-12-01,37170,2024/08/13 09:31:54,432497
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1988-10-01,37018,2024/08/13 09:31:54,432497
Meats and poultry,Beef and veal,2010-12-01,36990,2024/08/13 09:31:54,432312
Meats and poultry,Beef and veal,2010-11-01,36841,2024/08/13 09:31:54,432312
Meats and poultry,Beef and veal,2010-10-01,36260,2024/08/13 09:31:54,432312
"Milk, dairy products, and eggs",Processed dairy products,2007-12-01,37578,2024/08/13 09:31:54,431874
"Milk, dairy products, and eggs",Processed dairy products,2007-11-01,37226,2024/08/13 09:31:54,431874
"Milk, dairy products, and eggs",Processed dairy products,2007-10-01,36756,2024/08/13 09:31:54,431874
Sugar and sweets,Sugar and sweets,2009-12-01,36333,2024/08/13 09:31:54,430264
Sugar and sweets,Sugar and sweets,2009-09-01,35958,2024/08/13 09:31:54,430264
Sugar and sweets,Sugar and sweets,2009-10-01,35924,2024/08/13 09:31:54,430264
Cereals and bakery products,Bakery products,1994-12-01,36718,2024/08/13 09:31:54,429993
Cereals and bakery products,Bakery products,1994-11-01,36562,2024/08/13 09:31:54,429993
Cereals and bakery products,Bakery products,1994-10-01,36488,2024/08/13 09:31:54,429993
Fresh fruits and vegetables,Vegetables (fresh),2008-06-01,36153,2024/08/13 09:31:54,429292
Fresh fruits and vegetables,Vegetables (fresh),2008-07-01,36106,2024/08/13 09:31:54,429292
Fresh fruits and vegetables,Vegetables (fresh),2008-08-01,36018,2024/08/13 09:31:54,429292
Meats and poultry,Pork,2019-07-01,36142,2024/08/13 09:31:54,427821
Meats and poultry,Pork,2019-08-01,36126,2024/08/13 09:31:54,427821
Meats and poultry,Pork,2019-11-01,36041,2024/08/13 09:31:54,427821
Sugar and sweets,Sugar and sweets,2007-11-01,36054,2024/08/13 09:31:54,427566
Sugar and sweets,Sugar and sweets,2007-12-01,35994,2024/08/13 09:31:54,427566
Sugar and sweets,Sugar and sweets,2007-07-01,35886,2024/08/13 09:31:54,427566
Alcoholic beverages,Wine,2012-12-01,35924,2024/08/13 09:31:54,427172
Alcoholic beverages,Wine,2012-05-01,35906,2024/08/13 09:31:54,427172
Alcoholic beverages,Wine,2012-06-01,35849,2024/08/13 09:31:54,427172
Sugar and sweets,Sugar and sweets,2008-05-01,35828,2024/08/13 09:31:54,426740
Sugar and sweets,Sugar and sweets,2008-01-01,35798,2024/08/13 09:31:54,426740
Sugar and sweets,Sugar and sweets,2008-04-01,35615,2024/08/13 09:31:54,426740
Meats and poultry,Other meats,2019-07-01,35999,2024/08/13 09:31:54,426252
Meats and poultry,Other meats,2019-08-01,35997,2024/08/13 09:31:54,426252
Meats and poultry,Other meats,2019-11-01,35893,2024/08/13 09:31:54,426252
Meats and poultry,Beef and veal,2009-12-01,35670,2024/08/13 09:31:54,424570
Meats and poultry,Beef and veal,2009-01-01,35585,2024/08/13 09:31:54,424570
Meats and poultry,Beef and veal,2009-09-01,35491,2024/08/13 09:31:54,424570
Fresh fruits and vegetables,Fruit (fresh),2015-12-01,36114,2024/08/13 09:31:54,424350
Fresh fruits and vegetables,Fruit (fresh),2015-11-01,35957,2024/08/13 09:31:54,424350
Fresh fruits and vegetables,Fruit (fresh),2015-09-01,35727,2024/08/13 09:31:54,424350
Fresh fruits and vegetables,Vegetables (fresh),2007-12-01,35999,2024/08/13 09:31:54,421514
Fresh fruits and vegetables,Vegetables (fresh),2007-11-01,35706,2024/08/13 09:31:54,421514
Fresh fruits and vegetables,Vegetables (fresh),2007-10-01,35484,2024/08/13 09:31:54,421514
Alcoholic beverages,Beer,1996-12-01,35973,2024/08/13 09:31:54,420616
Alcoholic beverages,Beer,1996-11-01,35697,2024/08/13 09:31:54,420616
Alcoholic beverages,Beer,1996-10-01,35535,2024/08/13 09:31:54,420616
Fresh fruits and vegetables,Vegetables (fresh),2009-12-01,36023,2024/08/13 09:31:54,419994
Fresh fruits and vegetables,Vegetables (fresh),2009-11-01,35478,2024/08/13 09:31:54,419994
Fresh fruits and vegetables,Vegetables (fresh),2009-01-01,35470,2024/08/13 09:31:54,419994
Cereals and bakery products,Cereals,2006-12-01,36081,2024/08/13 09:31:54,417523
Cereals and bakery products,Cereals,2006-10-01,35708,2024/08/13 09:31:54,417523
Cereals and bakery products,Cereals,2006-11-01,35604,2024/08/13 09:31:54,417523
Sugar and sweets,Sugar and sweets,2006-05-01,35331,2024/08/13 09:31:54,417062
Sugar and sweets,Sugar and sweets,2006-07-01,34902,2024/08/13 09:31:54,417062
Sugar and sweets,Sugar and sweets,2006-11-01,34878,2024/08/13 09:31:54,417062
Meats and poultry,Pork,2018-11-01,35113,2024/08/13 09:31:54,415637
Meats and poultry,Pork,2018-10-01,34887,2024/08/13 09:31:54,415637
Meats and poultry,Pork,2018-08-01,34784,2024/08/13 09:31:54,415637
Meats and poultry,Beef and veal,2008-11-01,35259,2024/08/13 09:31:54,414056
Meats and poultry,Beef and veal,2008-10-01,35207,2024/08/13 09:31:54,414056
Meats and poultry,Beef and veal,2008-12-01,35190,2024/08/13 09:31:54,414056
Meats and poultry,Other meats,2018-11-01,35000,2024/08/13 09:31:54,414051
Meats and poultry,Other meats,2018-10-01,34784,2024/08/13 09:31:54,414051
Meats and poultry,Other meats,2018-08-01,34684,2024/08/13 09:31:54,414051
Meats and poultry,Poultry,2003-12-01,35152,2024/08/13 09:31:54,409833
Meats and poultry,Poultry,2003-11-01,35097,2024/08/13 09:31:54,409833
Meats and poultry,Poultry,2003-10-01,34941,2024/08/13 09:31:54,409833
Fresh fruits and vegetables,Vegetables (fresh),2006-10-01,34693,2024/08/13 09:31:54,409653
Fresh fruits and vegetables,Vegetables (fresh),2006-12-01,34636,2024/08/13 09:31:54,409653
Fresh fruits and vegetables,Vegetables (fresh),2006-11-01,34365,2024/08/13 09:31:54,409653
Fresh fruits and vegetables,Fruit (fresh),2014-12-01,34713,2024/08/13 09:31:54,408657
Fresh fruits and vegetables,Fruit (fresh),2014-11-01,34650,2024/08/13 09:31:54,408657
Fresh fruits and vegetables,Fruit (fresh),2014-10-01,34482,2024/08/13 09:31:54,408657
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1986-10-01,34521,2024/08/13 09:31:54,407005
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1986-12-01,34510,2024/08/13 09:31:54,407005
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1986-11-01,34477,2024/08/13 09:31:54,407005
Processed fruits and vegetables,Processed fruits and vegetables,2020-03-01,38691,2024/08/13 09:31:54,406948
Processed fruits and vegetables,Processed fruits and vegetables,2020-05-01,34603,2024/08/13 09:31:54,406948
Processed fruits and vegetables,Processed fruits and vegetables,2020-07-01,34453,2024/08/13 09:31:54,406948
Cereals and bakery products,Bakery products,1993-12-01,34776,2024/08/13 09:31:54,406455
Cereals and bakery products,Bakery products,1993-11-01,34566,2024/08/13 09:31:54,406455
Cereals and bakery products,Bakery products,1993-10-01,34348,2024/08/13 09:31:54,406455
Alcoholic beverages,Wine,2011-11-01,34613,2024/08/13 09:31:54,405547
Alcoholic beverages,Wine,2011-10-01,34379,2024/08/13 09:31:54,405547
Alcoholic beverages,Wine,2011-09-01,34249,2024/08/13 09:31:54,405547
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1987-02-01,34315,2024/08/13 09:31:54,404767
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1987-01-01,34225,2024/08/13 09:31:54,404767
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1987-03-01,34000,2024/08/13 09:31:54,404767
Sugar and sweets,Sugar and sweets,2005-12-01,34769,2024/08/13 09:31:54,404054
Sugar and sweets,Sugar and sweets,2005-11-01,34667,2024/08/13 09:31:54,404054
Sugar and sweets,Sugar and sweets,2005-10-01,34375,2024/08/13 09:31:54,404054
Meats and poultry,Pork,2017-12-01,34524,2024/08/13 09:31:54,403262
Meats and poultry,Pork,2017-11-01,34096,2024/08/13 09:31:54,403262
Meats and poultry,Pork,2017-10-01,33987,2024/08/13 09:31:54,403262
Fresh fruits and vegetables,Vegetables (fresh),2005-11-01,33970,2024/08/13 09:31:54,403113
Fresh fruits and vegetables,Vegetables (fresh),2005-10-01,33960,2024/08/13 09:31:54,403113
Fresh fruits and vegetables,Vegetables (fresh),2005-12-01,33947,2024/08/13 09:31:54,403113
Meats and poultry,Other meats,2017-12-01,34309,2024/08/13 09:31:54,400009
Meats and poultry,Other meats,2017-11-01,33863,2024/08/13 09:31:54,400009
Meats and poultry,Other meats,2017-10-01,33744,2024/08/13 09:31:54,400009
"Milk, dairy products, and eggs",Processed dairy products,2006-12-01,34585,2024/08/13 09:31:54,398925
"Milk, dairy products, and eggs",Processed dairy products,2006-10-01,34119,2024/08/13 09:31:54,398925
"Milk, dairy products, and eggs",Processed dairy products,2006-11-01,34078,2024/08/13 09:31:54,398925
Meats and poultry,Pork,2015-02-01,33197,2024/08/13 09:31:54,394700
Meats and poultry,Pork,2015-01-01,33124,2024/08/13 09:31:54,394700
Meats and poultry,Pork,2015-04-01,32998,2024/08/13 09:31:54,394700
Sugar and sweets,Sugar and sweets,2004-12-01,33742,2024/08/13 09:31:54,393885
Sugar and sweets,Sugar and sweets,2004-09-01,33571,2024/08/13 09:31:54,393885
Sugar and sweets,Sugar and sweets,2004-10-01,33347,2024/08/13 09:31:54,393885
Cereals and bakery products,Bakery products,1992-12-01,33247,2024/08/13 09:31:54,392449
Cereals and bakery products,Bakery products,1992-10-01,33160,2024/08/13 09:31:54,392449
Cereals and bakery products,Bakery products,1992-11-01,33133,2024/08/13 09:31:54,392449
Meats and poultry,Poultry,2002-11-01,33112,2024/08/13 09:31:54,392406
Meats and poultry,Poultry,2002-12-01,33038,2024/08/13 09:31:54,392406
Meats and poultry,Poultry,2002-10-01,32769,2024/08/13 09:31:54,392406
Fresh fruits and vegetables,Fruit (fresh),2013-12-01,33416,2024/08/13 09:31:54,392051
Fresh fruits and vegetables,Fruit (fresh),2013-11-01,33090,2024/08/13 09:31:54,392051
Fresh fruits and vegetables,Fruit (fresh),2013-10-01,33044,2024/08/13 09:31:54,392051
Meats and poultry,Pork,2016-12-01,32868,2024/08/13 09:31:54,392011
Meats and poultry,Pork,2016-02-01,32816,2024/08/13 09:31:54,392011
Meats and poultry,Pork,2016-10-01,32789,2024/08/13 09:31:54,392011
Alcoholic beverages,Beer,1995-12-01,33560,2024/08/13 09:31:54,391549
Alcoholic beverages,Beer,1995-11-01,33076,2024/08/13 09:31:54,391549
Alcoholic beverages,Beer,1995-09-01,33023,2024/08/13 09:31:54,391549
Meats and poultry,Poultry,2001-12-01,32855,2024/08/13 09:31:54,390428
Meats and poultry,Poultry,2001-10-01,32763,2024/08/13 09:31:54,390428
Meats and poultry,Poultry,2001-09-01,32750,2024/08/13 09:31:54,390428
Cereals and bakery products,Cereals,2005-12-01,33508,2024/08/13 09:31:54,389936
Cereals and bakery products,Cereals,2005-11-01,33429,2024/08/13 09:31:54,389936
Cereals and bakery products,Cereals,2005-10-01,33294,2024/08/13 09:31:54,389936
Meats and poultry,Pork,2014-12-01,33031,2024/08/13 09:31:54,389773
Meats and poultry,Pork,2014-11-01,32998,2024/08/13 09:31:54,389773
Meats and poultry,Pork,2014-10-01,32958,2024/08/13 09:31:54,389773
Alcoholic beverages,Wine,2010-11-01,33015,2024/08/13 09:31:54,389048
Alcoholic beverages,Wine,2010-10-01,32928,2024/08/13 09:31:54,389048
Alcoholic beverages,Wine,2010-09-01,32757,2024/08/13 09:31:54,389048
Cereals and bakery products,Bakery products,1991-05-01,32942,2024/08/13 09:31:54,388959
Cereals and bakery products,Bakery products,1991-06-01,32751,2024/08/13 09:31:54,388959
Cereals and bakery products,Bakery products,1991-07-01,32670,2024/08/13 09:31:54,388959
Meats and poultry,Beef and veal,2007-12-01,33242,2024/08/13 09:31:54,388926
Meats and poultry,Beef and veal,2007-11-01,32975,2024/08/13 09:31:54,388926
Meats and poultry,Beef and veal,2007-10-01,32655,2024/08/13 09:31:54,388926
Meats and poultry,Other meats,2016-12-01,32562,2024/08/13 09:31:54,387905
Meats and poultry,Other meats,2016-10-01,32488,2024/08/13 09:31:54,387905
Meats and poultry,Other meats,2016-11-01,32431,2024/08/13 09:31:54,387905
Alcoholic beverages,Spirits,2019-08-01,32675,2024/08/13 09:31:54,387464
Alcoholic beverages,Spirits,2019-11-01,32634,2024/08/13 09:31:54,387464
Alcoholic beverages,Spirits,2019-07-01,32568,2024/08/13 09:31:54,387464
Meats and poultry,Other meats,2015-02-01,32394,2024/08/13 09:31:54,386998
Meats and poultry,Other meats,2015-09-01,32361,2024/08/13 09:31:54,386998
Meats and poultry,Other meats,2015-07-01,32344,2024/08/13 09:31:54,386998
Sugar and sweets,Sugar and sweets,2003-11-01,33513,2024/08/13 09:31:54,384929
Sugar and sweets,Sugar and sweets,2003-09-01,32928,2024/08/13 09:31:54,384929
Sugar and sweets,Sugar and sweets,2003-10-01,32879,2024/08/13 09:31:54,384929
Fresh fruits and vegetables,Vegetables (fresh),2004-12-01,32705,2024/08/13 09:31:54,381918
Fresh fruits and vegetables,Vegetables (fresh),2004-11-01,32598,2024/08/13 09:31:54,381918
Fresh fruits and vegetables,Vegetables (fresh),2004-10-01,32261,2024/08/13 09:31:54,381918
"Milk, dairy products, and eggs",Processed dairy products,2005-12-01,32347,2024/08/13 09:31:54,381849
"Milk, dairy products, and eggs",Processed dairy products,2005-11-01,32341,2024/08/13 09:31:54,381849
"Milk, dairy products, and eggs",Processed dairy products,2005-10-01,32286,2024/08/13 09:31:54,381849
Meats and poultry,Poultry,2000-12-01,32311,2024/08/13 09:31:54,379350
Meats and poultry,Poultry,2000-10-01,32039,2024/08/13 09:31:54,379350
Meats and poultry,Poultry,2000-11-01,31950,2024/08/13 09:31:54,379350
Meats and poultry,Other meats,2014-12-01,32176,2024/08/13 09:31:54,378238
Meats and poultry,Other meats,2014-11-01,32117,2024/08/13 09:31:54,378238
Meats and poultry,Other meats,2014-10-01,32046,2024/08/13 09:31:54,378238
Alcoholic beverages,Spirits,2018-11-01,31944,2024/08/13 09:31:54,377870
Alcoholic beverages,Spirits,2018-10-01,31683,2024/08/13 09:31:54,377870
Alcoholic beverages,Spirits,2018-09-01,31603,2024/08/13 09:31:54,377870
Cereals and bakery products,Bakery products,1990-09-01,32093,2024/08/13 09:31:54,377581
Cereals and bakery products,Bakery products,1990-11-01,31967,2024/08/13 09:31:54,377581
Cereals and bakery products,Bakery products,1990-08-01,31724,2024/08/13 09:31:54,377581
Sugar and sweets,Sugar and sweets,2002-11-01,31764,2024/08/13 09:31:54,376686
Sugar and sweets,Sugar and sweets,2002-12-01,31697,2024/08/13 09:31:54,376686
Sugar and sweets,Sugar and sweets,2002-03-01,31437,2024/08/13 09:31:54,376686
Sugar and sweets,Sugar and sweets,2001-12-01,31605,2024/08/13 09:31:54,376510
Sugar and sweets,Sugar and sweets,2001-09-01,31551,2024/08/13 09:31:54,376510
Sugar and sweets,Sugar and sweets,2001-10-01,31549,2024/08/13 09:31:54,376510
Meats and poultry,Beef and veal,2006-12-01,32041,2024/08/13 09:31:54,375073
Meats and poultry,Beef and veal,2006-10-01,31715,2024/08/13 09:31:54,375073
Meats and poultry,Beef and veal,2006-11-01,31635,2024/08/13 09:31:54,375073
Alcoholic beverages,Beer,1994-12-01,32038,2024/08/13 09:31:54,374872
Alcoholic beverages,Beer,1994-11-01,31986,2024/08/13 09:31:54,374872
Alcoholic beverages,Beer,1994-09-01,31867,2024/08/13 09:31:54,374872
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1985-12-01,32754,2024/08/13 09:31:54,373848
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1985-11-01,32337,2024/08/13 09:31:54,373848
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1985-10-01,31816,2024/08/13 09:31:54,373848
Fresh fruits and vegetables,Vegetables (fresh),2003-01-01,31360,2024/08/13 09:31:54,373342
Fresh fruits and vegetables,Vegetables (fresh),2003-08-01,31255,2024/08/13 09:31:54,373342
Fresh fruits and vegetables,Vegetables (fresh),2003-07-01,31245,2024/08/13 09:31:54,373342
Fresh fruits and vegetables,Fruit (fresh),2012-12-01,31878,2024/08/13 09:31:54,372176
Fresh fruits and vegetables,Fruit (fresh),2012-11-01,31679,2024/08/13 09:31:54,372176
Fresh fruits and vegetables,Fruit (fresh),2012-10-01,31616,2024/08/13 09:31:54,372176
Meats and poultry,Beef and veal,2005-10-01,31258,2024/08/13 09:31:54,371654
Meats and poultry,Beef and veal,2005-08-01,31197,2024/08/13 09:31:54,371654
Meats and poultry,Beef and veal,2005-09-01,31193,2024/08/13 09:31:54,371654
Processed fruits and vegetables,Processed fruits and vegetables,2019-08-01,31387,2024/08/13 09:31:54,371425
Processed fruits and vegetables,Processed fruits and vegetables,2019-07-01,31362,2024/08/13 09:31:54,371425
Processed fruits and vegetables,Processed fruits and vegetables,2019-11-01,31245,2024/08/13 09:31:54,371425
Fresh fruits and vegetables,Vegetables (fresh),2002-11-01,31268,2024/08/13 09:31:54,369140
Fresh fruits and vegetables,Vegetables (fresh),2002-12-01,31123,2024/08/13 09:31:54,369140
Fresh fruits and vegetables,Vegetables (fresh),2002-10-01,30994,2024/08/13 09:31:54,369140
Alcoholic beverages,Wine,2009-12-01,31736,2024/08/13 09:31:54,368764
Alcoholic beverages,Wine,2009-11-01,31141,2024/08/13 09:31:54,368764
Alcoholic beverages,Wine,2009-10-01,31123,2024/08/13 09:31:54,368764
Meats and poultry,Poultry,1999-12-01,32199,2024/08/13 09:31:54,368683
Meats and poultry,Poultry,1999-09-01,31055,2024/08/13 09:31:54,368683
Meats and poultry,Poultry,1999-11-01,31011,2024/08/13 09:31:54,368683
Sugar and sweets,Sugar and sweets,2000-12-01,31239,2024/08/13 09:31:54,367465
Sugar and sweets,Sugar and sweets,2000-10-01,30996,2024/08/13 09:31:54,367465
Sugar and sweets,Sugar and sweets,2000-11-01,30899,2024/08/13 09:31:54,367465
Meats and poultry,Pork,2013-12-01,31391,2024/08/13 09:31:54,366119
Meats and poultry,Pork,2013-11-01,31063,2024/08/13 09:31:54,366119
Meats and poultry,Pork,2013-10-01,31046,2024/08/13 09:31:54,366119
Cereals and bakery products,Cereals,2004-12-01,31285,2024/08/13 09:31:54,364718
Cereals and bakery products,Cereals,2004-11-01,31106,2024/08/13 09:31:54,364718
Cereals and bakery products,Cereals,2004-10-01,30864,2024/08/13 09:31:54,364718
"Milk, dairy products, and eggs",Processed dairy products,2004-12-01,31125,2024/08/13 09:31:54,363622
"Milk, dairy products, and eggs",Processed dairy products,2004-11-01,31018,2024/08/13 09:31:54,363622
"Milk, dairy products, and eggs",Processed dairy products,2004-10-01,30830,2024/08/13 09:31:54,363622
Alcoholic beverages,Spirits,2017-11-01,30799,2024/08/13 09:31:54,362153
Alcoholic beverages,Spirits,2017-12-01,30773,2024/08/13 09:31:54,362153
Alcoholic beverages,Spirits,2017-10-01,30763,2024/08/13 09:31:54,362153
Fresh fruits and vegetables,Fruit (fresh),2011-10-01,30317,2024/08/13 09:31:54,362044
Fresh fruits and vegetables,Fruit (fresh),2011-04-01,30294,2024/08/13 09:31:54,362044
Fresh fruits and vegetables,Fruit (fresh),2011-08-01,30288,2024/08/13 09:31:54,362044
Alcoholic beverages,Wine,2008-07-01,30494,2024/08/13 09:31:54,361138
Alcoholic beverages,Wine,2008-11-01,30451,2024/08/13 09:31:54,361138
Alcoholic beverages,Wine,2008-08-01,30439,2024/08/13 09:31:54,361138
Processed fruits and vegetables,Processed fruits and vegetables,2018-11-01,30502,2024/08/13 09:31:54,361065
Processed fruits and vegetables,Processed fruits and vegetables,2018-10-01,30380,2024/08/13 09:31:54,361065
Processed fruits and vegetables,Processed fruits and vegetables,2018-08-01,30251,2024/08/13 09:31:54,361065
Sugar and sweets,Sugar and sweets,1999-12-01,31266,2024/08/13 09:31:54,358695
Sugar and sweets,Sugar and sweets,1999-09-01,30190,2024/08/13 09:31:54,358695
Sugar and sweets,Sugar and sweets,1999-11-01,30126,2024/08/13 09:31:54,358695
Alcoholic beverages,Beer,1991-03-01,30707,2024/08/13 09:31:54,357669
Alcoholic beverages,Beer,1991-01-01,30446,2024/08/13 09:31:54,357669
Alcoholic beverages,Beer,1991-08-01,30198,2024/08/13 09:31:54,357669
Meats and poultry,Other meats,2013-12-01,30411,2024/08/13 09:31:54,356206
Meats and poultry,Other meats,2013-11-01,30080,2024/08/13 09:31:54,356206
Meats and poultry,Other meats,2013-10-01,29990,2024/08/13 09:31:54,356206
Alcoholic beverages,Beer,1990-09-01,30859,2024/08/13 09:31:54,355335
Alcoholic beverages,Beer,1990-11-01,30806,2024/08/13 09:31:54,355335
Alcoholic beverages,Beer,1990-10-01,30266,2024/08/13 09:31:54,355335
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1984-11-01,30140,2024/08/13 09:31:54,354150
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1984-12-01,30009,2024/08/13 09:31:54,354150
"Mineral waters, soft drinks, and vegetable juices","Mineral waters, soft drinks, and vegetable juices",1984-09-01,29989,2024/08/13 09:31:54,354150
Meats and poultry,Pork,2012-12-01,29815,2024/08/13 09:31:54,353917
Meats and poultry,Pork,2012-11-01,29762,2024/08/13 09:31:54,353917
Meats and poultry,Pork,2012-10-01,29704,2024/08/13 09:31:54,353917
Meats and poultry,Beef and veal,2004-12-01,30253,2024/08/13 09:31:54,353879
Meats and poultry,Beef and veal,2004-11-01,30158,2024/08/13 09:31:54,353879
Meats and poultry,Beef and veal,2004-10-01,29943,2024/08/13 09:31:54,353879
Meats and poultry,Poultry,1998-12-01,29993,2024/08/13 09:31:54,353760
Meats and poultry,Poultry,1998-11-01,29749,2024/08/13 09:31:54,353760
Meats and poultry,Poultry,1998-10-01,29641,2024/08/13 09:31:54,353760
Cereals and bakery products,Bakery products,1989-12-01,30531,2024/08/13 09:31:54,353461
Cereals and bakery products,Bakery products,1989-11-01,30123,2024/08/13 09:31:54,353461
Cereals and bakery products,Bakery products,1989-09-01,29907,2024/08/13 09:31:54,353461
Fresh fruits and vegetables,Fruit (fresh),2010-11-01,29912,2024/08/13 09:31:54,352488
Fresh fruits and vegetables,Fruit (fresh),2010-12-01,29824,2024/08/13 09:31:54,352488
Fresh fruits and vegetables,Fruit (fresh),2010-09-01,29727,2024/08/13 09:31:54,352488
Alcoholic beverages,Beer,1993-12-01,30075,2024/08/13 09:31:54,351804
Alcoholic beverages,Beer,1993-11-01,29998,2024/08/13 09:31:54,351804
Alcoholic beverages,Beer,1993-10-01,29781,2024/08/13 09:31:54,351804
Meats and poultry,Other meats,2012-07-01,29479,2024/08/13 09:31:54,350648
Meats and poultry,Other meats,2012-10-01,29405,2024/08/13 09:31:54,350648
Meats and poultry,Other meats,2012-06-01,29359,2024/08/13 09:31:54,350648
Alcoholic beverages,Wine,2007-12-01,29702,2024/08/13 09:31:54,350345
Alcoholic beverages,Wine,2007-06-01,29544,2024/08/13 09:31:54,350345
Alcoholic beverages,Wine,2007-07-01,29503,2024/08/13 09:31:54,350345
Meats and poultry,Poultry,1997-11-01,29426,2024/08/13 09:31:54,349884
Meats and poultry,Poultry,1997-09-01,29355,2024/08/13 09:31:54,349884
Meats and poultry,Poultry,1997-10-01,29338,2024/08/13 09:31:54,349884
Processed fruits and vegetables,Processed fruits and vegetables,2017-12-01,29929,2024/08/13 09:31:54,349166
Processed fruits and vegetables,Processed fruits and vegetables,2017-11-01,29530,2024/08/13 09:31:54,349166
Processed fruits and vegetables,Processed fruits and vegetables,2017-10-01,29452,2024/08/13 09:31:54,349166
Alcoholic beverages,Spirits,2016-11-01,29718,2024/08/13 09:31:54,348924
Alcoholic beverages,Spirits,2016-09-01,29660,2024/08/13 09:31:54,348924
Alcoholic beverages,Spirits,2016-10-01,29545,2024/08/13 09:31:54,348924
Fresh fruits and vegetables,Vegetables (fresh),2001-12-01,30214,2024/08/13 09:31:54,348277
Fresh fruits and vegetables,Vegetables (fresh),2001-11-01,29827,2024/08/13 09:31:54,348277
Fresh fruits and vegetables,Vegetables (fresh),2001-10-01,29761,2024/08/13 09:31:54,348277
Sugar and sweets,Sugar and sweets,1998-12-01,29238,2024/08/13 09:31:54,345642
Sugar and sweets,Sugar and sweets,1998-11-01,29010,2024/08/13 09:31:54,345642
Sugar and sweets,Sugar and sweets,1998-10-01,28914,2024/08/13 09:31:54,345642
Cereals and bakery products,Cereals,2003-11-01,29491,2024/08/13 09:31:54,345337
Cereals and bakery products,Cereals,2003-12-01,29469,2024/08/13 09:31:54,345337
Cereals and bakery products,Cereals,2003-08-01,29372,2024/08/13 09:31:54,345337
Sugar and sweets,Sugar and sweets,1997-11-01,28820,2024/08/13 09:31:54,343276
Sugar and sweets,Sugar and sweets,1997-09-01,28729,2024/08/13 09:31:54,343276
Sugar and sweets,Sugar and sweets,1997-10-01,28714,2024/08/13 09:31:54,343276
Meats and poultry,Pork,2011-10-01,28945,2024/08/13 09:31:54,340866
Meats and poultry,Pork,2011-11-01,28872,2024/08/13 09:31:54,340866
Meats and poultry,Pork,2011-12-01,28831,2024/08/13 09:31:54,340866
Meats and poultry,Other meats,2011-11-01,28658,2024/08/13 09:31:54,339161
Meats and poultry,Other meats,2011-10-01,28598,2024/08/13 09:31:54,339161
Meats and poultry,Other meats,2011-12-01,28591,2024/08/13 09:31:54,339161
Alcoholic beverages,Beer,1992-01-01,28385,2024/08/13 09:31:54,338700
Alcoholic beverages,Beer,1992-02-01,28344,2024/08/13 09:31:54,338700
Alcoholic beverages,Beer,1992-10-01,28324,2024/08/13 09:31:54,338700
Processed fruits and vegetables,Processed fruits and vegetables,2016-12-01,28385,2024/08/13 09:31:54,337554
Processed fruits and vegetables,Processed fruits and vegetables,2016-10-01,28354,2024/08/13 09:31:54,337554
Processed fruits and vegetables,Processed fruits and vegetables,2016-11-01,28298,2024/08/13 09:31:54,337554
"Milk, dairy products, and eggs",Processed dairy products,2003-12-01,28876,2024/08/13 09:31:54,336283
"Milk, dairy products, and eggs",Processed dairy products,2003-11-01,28800,2024/08/13 09:31:54,336283
"Milk, dairy products, and eggs",Processed dairy products,2003-10-01,28583,2024/08/13 09:31:54,336283
Sugar and sweets,Sugar and sweets,1996-12-01,28494,2024/08/13 09:31:54,335172
Sugar and sweets,Sugar and sweets,1996-11-01,28416,2024/08/13 09:31:54,335172
Sugar and sweets,Sugar and sweets,1996-10-01,28365,2024/08/13 09:31:54,335172
Alcoholic beverages,Wine,2006-12-01,28542,2024/08/13 09:31:54,335151
Alcoholic beverages,Wine,2006-11-01,28465,2024/08/13 09:31:54,335151
Alcoholic beverages,Wine,2006-10-01,28271,2024/08/13 09:31:54,335151
Alcoholic beverages,Spirits,2015-12-01,28440,2024/08/13 09:31:54,334473
Alcoholic beverages,Spirits,2015-08-01,28096,2024/08/13 09:31:54,334473
